file,teil,action,topicTag,confidence,hits,sample
lesen-t3-auto-018.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Medien:1,Bei Lauras Wagen leuchtet eine Warnung; ein Schaden soll behoben werden. MotoFix — Wir reparieren Motorräder und wechsel
lesen-t3-auto-0krnpo.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Medien:1,Bei Lauras Wagen leuchtet eine Warnung; ein Schaden soll behoben werden. Tastenfee — Unterricht am Klavier für Kinder un
lesen-t3-auto-0su12l.json,3,would_apply,Reisen,medium,Reisen:3 | Wohnen:3 | Freizeit:2,Bei Herrn Lang ist ein Bügel der Sehhilfe abgebrochen; sie soll gerichtet werden. SchirmDoc — Wir reparieren Regenschirm
lesen-t3-auto-0w7nrk.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Technik:1,"Saras Drahtesel hat einen platten Schlauch, den sie ungern selbst flickt. Beweglich — Anfängerkurs Yoga für Erwachsene, "
lesen-t3-auto-0wccwj.json,3,would_apply,Verkehr,high,Verkehr:5 | Wohnen:4 | Reisen:2,"Seit dem Umzug spinnt zu Hause der Drucker, und das WLAN ist unzuverlässig. Jemand soll vor Ort nach dem Rechten sehen. "
lesen-t3-auto-1xjvus.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. PolsterFix — Wir reparieren Polstermöbel 
lesen-t3-auto-2opj13.json,3,would_apply,Verkehr,high,Verkehr:5 | Wohnen:4 | Reisen:2,"Seit dem Umzug spinnt zu Hause der Drucker, und das WLAN ist unzuverlässig. Jemand soll vor Ort nach dem Rechten sehen. "
lesen-t3-auto-36oufs.json,3,would_apply,Technik,medium,Technik:3 | Wohnen:3 | Reisen:2,"Die kleine Emma soll ein Tasteninstrument erlernen. TragHilfe — Wir packen bei Ihrem Umzug an, auch sonntags, ab 40 Euro"
lesen-t3-auto-4u5ssu.json,3,would_apply,Technik,medium,Technik:3 | Wohnen:3 | Reisen:2,"Die kleine Emma soll ein Tasteninstrument erlernen. AutoMedic — Wir reparieren Pannen und tauschen Bremsen am Wagen, Ter"
lesen-t3-auto-4v0njj.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. HolzWerk — Wir reparieren wackelige Stühl
lesen-t3-auto-4w233t.json,3,would_apply,Wohnen,high,Wohnen:4 | Reisen:1 | Arbeit:1,Bei Familie Roth bleibt ein Heizkörper kalt; das soll behoben werden. FrischLuft — Wir reparieren Klimageräte und reinig
lesen-t3-auto-52dgek.json,3,would_apply,Wohnen,high,Wohnen:5 | Konsum:2 | Bildung:2,Bei Frau Keller läuft die Wäsche nicht mehr richtig durch; das Gerät soll instand gesetzt werden. Wohntraum — Wir vermit
lesen-t3-auto-59l8g8.json,3,would_apply,Technik,high,Technik:4 | Wohnen:2 | Reisen:1,Bei Frau Reins Gerät zum Ausdrucken kommt nur noch ein Streifen heraus; es soll gerichtet werden. TragHilfe — Wir packen
lesen-t3-auto-5k38d3.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Technik:1,"Saras Drahtesel hat einen platten Schlauch, den sie ungern selbst flickt. WohnVermitt — Wir vermitteln möblierte Wohnung"
lesen-t3-auto-663dhi.json,3,would_apply,Technik,high,Technik:4 | Wohnen:2 | Reisen:1,Bei Frau Reins Gerät zum Ausdrucken kommt nur noch ein Streifen heraus; es soll gerichtet werden. KabelDoc — Wir reparie
lesen-t3-auto-6n4rbl.json,3,would_apply,Wohnen,high,Wohnen:5 | Konsum:2 | Bildung:2,Bei Frau Keller läuft die Wäsche nicht mehr richtig durch; das Gerät soll instand gesetzt werden. FixFlink — Wir reparie
lesen-t3-auto-7deu3u.json,3,would_apply,Technik,high,Technik:4 | Wohnen:2 | Reisen:1,Bei Frau Reins Gerät zum Ausdrucken kommt nur noch ein Streifen heraus; es soll gerichtet werden. WohnVermitt — Wir verm
lesen-t3-auto-8d7am3.json,3,would_apply,Reisen,medium,Reisen:3 | Wohnen:3 | Freizeit:2,Bei Herrn Lang ist ein Bügel der Sehhilfe abgebrochen; sie soll gerichtet werden. Glanzweg — Pflege und Reinigung von Fe
lesen-t3-auto-8kg9ht.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. TragHilfe — Wir packen bei Ihrem Umzug an
lesen-t3-auto-8njzec.json,3,would_apply,Technik,high,Technik:4 | Wohnen:2 | Reisen:1,Bei Frau Reins Gerät zum Ausdrucken kommt nur noch ein Streifen heraus; es soll gerichtet werden. KlickKurs — Nachhilfe 
lesen-t3-auto-8p1680.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Arbeit:1,Bei Lauras Wagen ist ein Reifen platt und muss instand gesetzt werden. WirtschaftsWissen — Nachhilfe in BWL für Studiere
lesen-t3-auto-9ctwhp.json,3,would_apply,Wohnen,high,Wohnen:5 | Konsum:2 | Bildung:2,Bei Frau Keller läuft die Wäsche nicht mehr richtig durch; das Gerät soll instand gesetzt werden. Saitenklang — Unterric
lesen-t3-auto-9u7jcw.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Arbeit:1,Bei Lauras Wagen ist ein Reifen platt und muss instand gesetzt werden. ParagraphPlus — Nachhilfe in Jura-Grundlagen für 
lesen-t3-auto-9uf7ij.json,3,would_apply,Arbeit,medium,Arbeit:2 | Wohnen:2 | Reisen:1,Bei Herrn Lang ist der Absatz vom Stiefel abgebrochen; er möchte ihn richten lassen. SchnittKurs — Anfängerkurs Schneide
lesen-t3-auto-9yauxw.json,3,would_apply,Wohnen,high,Wohnen:4 | Reisen:1 | Arbeit:1,Bei Familie Roth bleibt ein Heizkörper kalt; das soll behoben werden. Glanzweg — Pflege und Reinigung von Fenstern und B
lesen-t3-auto-ab8pom.json,3,would_apply,Arbeit,medium,Arbeit:2 | Wohnen:2 | Reisen:1,Bei Herrn Lang ist der Absatz vom Stiefel abgebrochen; er möchte ihn richten lassen. NähKurs — Anfängerkurs Nähen mit de
lesen-t3-auto-btvapb.json,3,would_apply,Verkehr,high,Verkehr:5 | Wohnen:4 | Reisen:2,"Seit dem Umzug spinnt zu Hause der Drucker, und das WLAN ist unzuverlässig. Jemand soll vor Ort nach dem Rechten sehen. "
lesen-t3-auto-bvr15l.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. TragHilfe — Wir packen bei Ihrem Umzug an
lesen-t3-auto-csyavv.json,3,would_apply,Wohnen,high,Wohnen:4 | Reisen:1 | Arbeit:1,Bei Familie Roth bleibt ein Heizkörper kalt; das soll behoben werden. WohnVermitt — Wir vermitteln Zwei- und Dreizimmerw
lesen-t3-auto-d5a8cy.json,3,would_apply,Technik,medium,Technik:3 | Wohnen:3 | Reisen:2,"Die kleine Emma soll ein Tasteninstrument erlernen. WohnTraum — Wir vermitteln kleine Wohnungen in Uninähe, faire Provis"
lesen-t3-auto-f6zcot.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Medien:1,Bei Lauras Wagen leuchtet eine Warnung; ein Schaden soll behoben werden. Lernbar — Nachhilfe in Italienisch für alle Stu
lesen-t3-auto-fwh3pk.json,3,would_apply,Reisen,medium,Reisen:3 | Wohnen:3 | Freizeit:2,Bei Herrn Lang ist ein Bügel der Sehhilfe abgebrochen; sie soll gerichtet werden. WohnVermitt — Wir vermitteln Zwei- und
lesen-t3-auto-h5017r.json,3,would_apply,Arbeit,medium,Arbeit:2 | Wohnen:2 | Reisen:1,Bei Herrn Lang ist der Absatz vom Stiefel abgebrochen; er möchte ihn richten lassen. NähKurs — Anfängerkurs Nähen mit de
lesen-t3-auto-hd5fmk.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Medien:1,Bei Lauras Wagen leuchtet eine Warnung; ein Schaden soll behoben werden. Frischeglanz — Pflege und Reinigung von Fenster
lesen-t3-auto-hedsnx.json,3,would_apply,Wohnen,high,Wohnen:3 | Bildung:2 | Freizeit:2,Pauls Tochter kommt in der Grundschule beim Schreiben nicht mit und braucht Förderung. WohnTraum — Wir vermitteln famili
lesen-t3-auto-hq5qzd.json,3,would_apply,Technik,high,Technik:4 | Wohnen:3 | Arbeit:2,"Der Schüler Jan möchte die Sprache Russlands von Grund auf lernen. OstWort — Nachhilfe in Russisch für alle Stufen, onli"
lesen-t3-auto-hsfj6s.json,3,would_apply,Wohnen,high,Wohnen:3 | Bildung:2 | Freizeit:2,Pauls Tochter kommt in der Grundschule beim Schreiben nicht mit und braucht Förderung. Sauberzauber — Pflege und Reinigu
lesen-t3-auto-i6ao6o.json,3,would_apply,Technik,high,Technik:4 | Wohnen:3 | Arbeit:2,"Der Schüler Jan möchte die Sprache Russlands von Grund auf lernen. Pfotenglück — Pflege Ihres Hundes im Urlaub, großer G"
lesen-t3-auto-ic7x45.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. TragHilfe — Wir packen bei Ihrem Umzug an
lesen-t3-auto-icnjnr.json,3,would_apply,Technik,medium,Technik:3 | Wohnen:3 | Reisen:2,"Die kleine Emma soll ein Tasteninstrument erlernen. BogenStrich — Unterricht an der Geige für Anfänger, Sa vormittags, k"
lesen-t3-auto-igi1o6.json,3,would_apply,Technik,high,Technik:4 | Wohnen:3 | Arbeit:2,Der Schüler Jan möchte die Sprache Russlands von Grund auf lernen. DisplayFix — Wir reparieren Handys und tauschen gespr
lesen-t3-auto-ii609u.json,3,would_apply,Wohnen,high,Wohnen:4 | Reisen:1 | Arbeit:1,"Bei Familie Roth bleibt ein Heizkörper kalt; das soll behoben werden. Pfotenglück — Pflege Ihres Hundes im Urlaub, große"
lesen-t3-auto-k95wse.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. HolzWerk — Wir reparieren wackelige Stühl
lesen-t3-auto-km9wbo.json,3,would_apply,Verkehr,high,Verkehr:5 | Wohnen:4 | Reisen:2,"Seit dem Umzug spinnt zu Hause der Drucker, und das WLAN ist unzuverlässig. Jemand soll vor Ort nach dem Rechten sehen. "
lesen-t3-auto-lbt8nt.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Medien:1,Bei Lauras Wagen leuchtet eine Warnung; ein Schaden soll behoben werden. Tastenfee — Unterricht am Klavier für Kinder un
lesen-t3-auto-lxmgvw.json,3,would_apply,Wohnen,high,Wohnen:4 | Kultur:2 | Freizeit:2,Bei Lena macht das Gerät zum Fotografieren keine scharfen Bilder mehr; es soll gerichtet werden. StimmRaum — Anfängerkur
lesen-t3-auto-m1mm7b.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. CodeStart — Nachhilfe in Programmieren fü
lesen-t3-auto-m33zsz.json,3,would_apply,Wohnen,high,Wohnen:4 | Kultur:2 | Freizeit:2,Bei Lena macht das Gerät zum Fotografieren keine scharfen Bilder mehr; es soll gerichtet werden. Glanzweg — Pflege und R
lesen-t3-auto-mw3lyd.json,3,would_apply,Technik,high,Technik:4 | Wohnen:3 | Arbeit:2,Der Schüler Jan möchte die Sprache Russlands von Grund auf lernen. WohnVermitt — Wir vermitteln Zwei- und Dreizimmerwohn
lesen-t3-auto-myhxcz.json,3,would_apply,Technik,high,Technik:4 | Wohnen:3 | Arbeit:2,"Der Schüler Jan möchte die Sprache Russlands von Grund auf lernen. FernOst — Nachhilfe in Chinesisch für Anfänger, Mi ab"
lesen-t3-auto-nbzyxk.json,3,would_apply,Technik,high,Technik:4 | Wohnen:2 | Reisen:1,Bei Frau Reins Gerät zum Ausdrucken kommt nur noch ein Streifen heraus; es soll gerichtet werden. WohnVermitt — Wir verm
lesen-t3-auto-nhikh5.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Technik:1,"Saras Drahtesel hat einen platten Schlauch, den sie ungern selbst flickt. Blitzrein — Pflege und Reinigung von Treppenha"
lesen-t3-auto-pcikiy.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. WohnVermitt — Wir vermitteln Zwei- und Dr
lesen-t3-auto-peumnz.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Medien:1,Bei Lauras Wagen leuchtet eine Warnung; ein Schaden soll behoben werden. RollerHilfe — Wir reparieren E-Scooter und Roll
lesen-t3-auto-pkoe89.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Medien:1,Bei Lauras Wagen leuchtet eine Warnung; ein Schaden soll behoben werden. Tierfreund — Betreuung und Pflege Ihres Hundes 
lesen-t3-auto-q34vu3.json,3,would_apply,Wohnen,high,Wohnen:4 | Reisen:1 | Arbeit:1,Bei Familie Roth bleibt ein Heizkörper kalt; das soll behoben werden. Glanzweg — Pflege und Reinigung von Fenstern und B
lesen-t3-auto-rgi0u2.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. RechnerWissen — Nachhilfe in Informatik f
lesen-t3-auto-rh1554.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Technik:1,"Saras Drahtesel hat einen platten Schlauch, den sie ungern selbst flickt. Taktgefühl — Tanzkurs für Paare und Einzelne, "
lesen-t3-auto-s1isd7.json,3,would_apply,Technik,medium,Technik:3 | Wohnen:3 | Reisen:2,"Die kleine Emma soll ein Tasteninstrument erlernen. Tierpension — Pflege Ihres Hundes im Urlaub, großer Garten, 18 Euro "
lesen-t3-auto-s6j0xw.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Medien:1,Bei Lauras Wagen leuchtet eine Warnung; ein Schaden soll behoben werden. Tierfreund — Betreuung und Pflege Ihres Hundes 
lesen-t3-auto-scn1uu.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. Pfotenglück — Pflege Ihres Hundes im Urla
lesen-t3-auto-tc5uia.json,3,would_apply,Wohnen,high,Wohnen:3 | Bildung:2 | Freizeit:2,Pauls Tochter kommt in der Grundschule beim Schreiben nicht mit und braucht Förderung. Tierpension — Pflege Ihres Hundes
lesen-t3-auto-tklwoj.json,3,would_apply,Wohnen,high,Wohnen:5 | Konsum:2 | Bildung:2,Bei Frau Keller läuft die Wäsche nicht mehr richtig durch; das Gerät soll instand gesetzt werden. Zahlenfuchs — Nachhilf
lesen-t3-auto-u4r5ot.json,3,would_apply,Wohnen,high,Wohnen:4 | Reisen:1 | Arbeit:1,Bei Familie Roth bleibt ein Heizkörper kalt; das soll behoben werden. Glanzweg — Pflege und Reinigung von Fenstern und B
lesen-t3-auto-ufwdz3.json,3,would_apply,Wohnen,high,Wohnen:4 | Kultur:2 | Freizeit:2,Bei Lena macht das Gerät zum Fotografieren keine scharfen Bilder mehr; es soll gerichtet werden. BildScharf — Wir repari
lesen-t3-auto-urnm92.json,3,would_apply,Wohnen,high,Wohnen:4 | Ernährung:2 | Freizeit:2,Herrn Langs Gerät zum Rasenschneiden springt nicht mehr an; es soll gerichtet werden. MähFix — Wir reparieren Rasenmäher
lesen-t3-auto-vo8jkj.json,3,would_apply,Technik,high,Technik:4 | Wohnen:3 | Arbeit:2,"Der Schüler Jan möchte die Sprache Russlands von Grund auf lernen. OstWort — Nachhilfe in Russisch für alle Stufen, onli"
lesen-t3-auto-w0wrjg.json,3,would_apply,Wohnen,high,Wohnen:5 | Konsum:2 | Bildung:2,Bei Frau Keller läuft die Wäsche nicht mehr richtig durch; das Gerät soll instand gesetzt werden. StaubWeg — Wir reparie
lesen-t3-auto-wskehx.json,3,would_apply,Wohnen,high,Wohnen:4 | Ernährung:2 | Freizeit:2,Herrn Langs Gerät zum Rasenschneiden springt nicht mehr an; es soll gerichtet werden. Tierfreund — Pflege Ihres Hundes i
lesen-t3-auto-xj31tk.json,3,would_apply,Wohnen,high,Wohnen:5 | Konsum:2 | Bildung:2,Bei Frau Keller läuft die Wäsche nicht mehr richtig durch; das Gerät soll instand gesetzt werden. Sauberzauber — Pflege 
lesen-t3-auto-y97qgh.json,3,would_apply,Wohnen,high,Wohnen:4 | Reisen:1 | Arbeit:1,Bei Familie Roth bleibt ein Heizkörper kalt; das soll behoben werden. WohnVermitt — Wir vermitteln Zwei- und Dreizimmerw
lesen-t3-auto-zggjqq.json,3,would_apply,Technik,medium,Technik:3 | Wohnen:3 | Reisen:2,"Die kleine Emma soll ein Tasteninstrument erlernen. TragHilfe — Wir packen bei Ihrem Umzug an, auch sonntags, ab 40 Euro"
lesen-t3-auto-znvh6g.json,3,would_apply,Wohnen,high,Wohnen:3 | Bildung:2 | Freizeit:2,Pauls Tochter kommt in der Grundschule beim Schreiben nicht mit und braucht Förderung. TragHilfe — Wir packen bei Ihrem 
lesen-t3-auto-zviwj3.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Technik:1,"Saras Drahtesel hat einen platten Schlauch, den sie ungern selbst flickt. Beweglich — Anfängerkurs Yoga für Erwachsene, "
lesen-t3-auto-zzgl6b.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Medien:1,Bei Lauras Wagen leuchtet eine Warnung; ein Schaden soll behoben werden. RollerHilfe — Wir reparieren E-Scooter und Roll
lesen-t3-claude-bp-015.json,3,would_apply,Wohnen,high,Wohnen:4 | Kultur:2 | Freizeit:2,Bei Lena macht das Gerät zum Fotografieren keine scharfen Bilder mehr; es soll gerichtet werden. BildScharf — Wir repari
lesen-t3-claude-bp-016.json,3,would_apply,Technik,high,Technik:4 | Wohnen:2 | Reisen:1,Bei Frau Reins Gerät zum Ausdrucken kommt nur noch ein Streifen heraus; es soll gerichtet werden. DruckDoc — Wir reparie
lesen-t3-claude-bp-017.json,3,would_apply,Verkehr,high,Verkehr:5 | Wohnen:4 | Reisen:2,"Seit dem Umzug spinnt zu Hause der Drucker, und das WLAN ist unzuverlässig. Jemand soll vor Ort nach dem Rechten sehen. "
lesen-t3-claude-bp-019.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Arbeit:1,Bei Lauras Wagen ist ein Reifen platt und muss instand gesetzt werden. ReifenProfi — Wir reparieren platte Reifen und wu
lesen-t3-claude-bp-020.json,3,would_apply,Wohnen,high,Wohnen:3 | Bildung:2 | Freizeit:2,Pauls Tochter kommt in der Grundschule beim Schreiben nicht mit und braucht Förderung. LernZwerg — Nachhilfe in Deutsch 
lesen-t3-claude-bp-024.json,3,would_apply,Wohnen,high,Wohnen:5 | Konsum:2 | Bildung:2,Bei Frau Keller läuft die Wäsche nicht mehr richtig durch; das Gerät soll instand gesetzt werden. FixFlink — Wir reparie
lesen-t3-claude-bp-026.json,3,would_apply,Wohnen,high,Wohnen:4 | Reisen:1 | Arbeit:1,Bei Familie Roth bleibt ein Heizkörper kalt; das soll behoben werden. WärmeWerk — Wir reparieren Heizungen und entlüften
lesen-t3-claude-bp-027.json,3,would_apply,Reisen,medium,Reisen:3 | Wohnen:3 | Freizeit:2,Bei Herrn Lang ist ein Bügel der Sehhilfe abgebrochen; sie soll gerichtet werden. DurchBlick — Wir reparieren Brillen un
lesen-t3-claude-bp-028.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:2 | Medien:1,Bei Lauras Wagen leuchtet eine Warnung; ein Schaden soll behoben werden. MotoFix — Wir reparieren Motorräder und wechsel
lesen-t3-claude-bp-029.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Arbeit:1,Bei Frau Held wackelt der Esszimmerstuhl bedenklich; er soll gerichtet werden. HolzWerk — Wir reparieren wackelige Stühl
lesen-t3-claude-bp-030.json,3,would_apply,Technik,medium,Technik:3 | Wohnen:3 | Reisen:2,"Die kleine Emma soll ein Tasteninstrument erlernen. TastenWelt — Unterricht am Klavier für Kinder und Erwachsene, Termin"
lesen-t3-claude-bp-032.json,3,would_apply,Arbeit,medium,Arbeit:2 | Wohnen:2 | Reisen:1,Bei Herrn Lang ist der Absatz vom Stiefel abgebrochen; er möchte ihn richten lassen. SohlenStark — Wir reparieren Schuhe
lesen-t3-claude-bp-033.json,3,would_apply,Wohnen,high,Wohnen:3 | Reisen:1 | Technik:1,"Saras Drahtesel hat einen platten Schlauch, den sie ungern selbst flickt. RadFit — Wir reparieren Fahrräder und E-Bikes "
lesen-t3-claude-bp-034.json,3,would_apply,Technik,high,Technik:4 | Wohnen:3 | Arbeit:2,"Der Schüler Jan möchte die Sprache Russlands von Grund auf lernen. OstWort — Nachhilfe in Russisch für alle Stufen, onli"
lesen-t3-gemini-001.json,3,would_apply,Verkehr,high,Verkehr:5 | Wohnen:4 | Reisen:2,"Seit dem Umzug spinnt zu Hause der Drucker, und das WLAN ist unzuverlässig. Jemand soll vor Ort nach dem Rechten sehen. "
lesen-t3-gemini-053.json,3,would_apply,Wohnen,high,Wohnen:6 | Verkehr:3 | Reisen:2,Lena steht vor ihrer Wohnung und hat den Schlüssel verloren; sie kommt nicht hinein. RaumProfi Vermittlung — Wir vermitt
lesen-t4-gemini-004.json,4,would_apply,Arbeit,high,Arbeit:4 | Verkehr:2 | Technik:1,Forum: Neue Homeoffice-Regel im Unternehmen Viele Arbeitgeber diskutieren über flexible Arbeitsmodelle. Eine große Firma
lesen-t4-gemini-009.json,4,would_apply,Freizeit,high,Freizeit:3 | Stadtleben:2 | Wohnen:1,Forum: Stadtgärten in unserer Nachbarschaft – eine gute Idee? Die Stadt diskutiert über neue Stadtgärten auf ehemaligen 
lesen-t4-gemini-010.json,4,would_apply,Wohnen,medium,Wohnen:2 | Freizeit:2 | Stadtleben:2,Forum: Gemeinschaftsgarten im Stadtzentrum? Ein neues Projekt in der Stadt plant einen grossen Gemeinschaftsgarten für a
lesen-t4-gemini-014.json,4,would_apply,Bildung,medium,Bildung:2 | Sport:2 | Freizeit:2,"Forum: Mehr Sport in der Stadt – Eine gute Idee? Die Stadtverwaltung hat neue Ideen, um mehr Menschen zu Sport und Beweg"
lesen-t5-gemini-012.json,5,would_apply,Freizeit,medium,Freizeit:2 | Stadtleben:2 | Arbeit:1,Regeln für den Gemeinschaftsgarten „Grüne Oase“ Willkommen im Gemeinschaftsgarten „Grüne Oase“! Damit alle Freude an uns
lesen-t5-gemini-016.json,5,would_apply,Wohnen,medium,Wohnen:3 | Ernährung:3 | Reisen:1,Hausordnung des Gästehauses 'Zum Wanderer' Herzlich willkommen im Gästehaus 'Zum Wanderer'! Bitte beachten Sie folgende 
